TIMESTAMP;UUID;ARRITMIA;CPU;RAM;DISCO;BATERIA;QTD_TAREFAS;TAREFAS
2025-12-01 12:00;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;8.7;75.9;42.7;100.0;2;"task_monitor_heartbeat
2025-12-01 12:00:10;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;5.9;71.3;42.7;100.0;2;"task_monitor_heartbeat
2025-12-01 12:00:20;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;17.6;79.7;42.7;100.0;2;"task_monitor_heartbeat
2025-12-01 12:00:30;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;18.8;70.7;42.7;100.0;2;"task_monitor_heartbeat
2025-12-01 12:00:40;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;9.3;76.1;42.7;100.0;2;"task_monitor_heartbeat
2025-12-01 12:00:50;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;5.1;73.2;42.7;100.0;2;"task_monitor_heartbeat
2025-12-01 12:01;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;true;9.0;79.9;42.7;99.9;4;"task_monitor_heartbeat
2025-12-01 12:01:10;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;14.6;83.1;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:01:20;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;8.2;83.3;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:01:30;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;17.4;77.2;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:01:40;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;17.9;81.1;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:01:50;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;18.8;72.7;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:02;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;16.7;76.7;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:02:10;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;12.1;70.6;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:02:20;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;10.2;83.1;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:02:30;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;6.1;71.7;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:02:40;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;12.9;75.9;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:02:50;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;12.0;77.7;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:03;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;16.6;72.4;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:03:10;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;19.0;75.6;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:03:20;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;18.7;71.6;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:03:30;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;11.2;79.2;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:03:40;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;13.7;75.7;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:03:50;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;17.2;70.9;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:04;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;14.5;82.4;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:04:10;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;18.3;70.2;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:04:20;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;6.7;79.1;42.8;99.7;2;"task_monitor_heartbeat
2025-12-01 12:04:30;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;true;12.8;78.9;42.8;99.7;4;"task_monitor_heartbeat
2025-12-01 12:04:40;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;17.8;83.0;42.8;99.7;2;"task_monitor_heartbeat
2025-12-01 12:04:50;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;6.5;77.0;42.8;99.7;2;"task_monitor_heartbeat
2025-12-01 12:05;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;15.9;82.3;42.8;99.7;2;"task_monitor_heartbeat
2025-12-01 12:05:10;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;11.7;77.3;42.8;99.7;2;"task_monitor_heartbeat
2025-12-01 12:05:20;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;10.4;83.6;42.8;99.7;2;"task_monitor_heartbeat
2025-12-01 12:05:30;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;15.3;79.5;42.8;99.7;2;"task_monitor_heartbeat
2025-12-01 12:05:40;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;8.3;76.1;42.8;99.7;2;"task_monitor_heartbeat
2025-12-01 12:05:50;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;15.1;72.8;42.8;99.7;2;"task_monitor_heartbeat
2025-12-01 12:06;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;17.7;77.1;42.8;99.6;2;"task_monitor_heartbeat
2025-12-01 12:06:10;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;10.1;71.4;42.8;99.6;2;"task_monitor_heartbeat
2025-12-01 12:06:20;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;17.2;83.4;42.8;99.6;2;"task_monitor_heartbeat
2025-12-01 12:06:30;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;6.3;75.6;42.8;99.6;2;"task_monitor_heartbeat
2025-12-01 12:06:40;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;10.2;77.6;42.8;99.6;2;"task_monitor_heartbeat
2025-12-01 12:06:50;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;true;12.2;70.2;42.8;99.6;4;"task_monitor_heartbeat
2025-12-01 12:07;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;7.3;76.8;42.8;99.6;2;"task_monitor_heartbeat
2025-12-01 12:07:10;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;true;7.5;73.3;42.8;99.6;4;"task_monitor_heartbeat
2025-12-01 12:07:20;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;13.7;76.9;42.8;99.6;2;"task_monitor_heartbeat
2025-12-01 12:07:30;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;11.2;82.5;42.8;99.6;2;"task_monitor_heartbeat
2025-12-01 12:07:40;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;17.2;82.6;42.8;99.5;2;"task_monitor_heartbeat
2025-12-01 12:07:50;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;15.3;75.1;42.8;99.5;2;"task_monitor_heartbeat
2025-12-01 12:08;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;13.3;81.5;42.8;99.5;2;"task_monitor_heartbeat
2025-12-01 12:08:10;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;14.7;80.4;42.8;99.5;2;"task_monitor_heartbeat
2025-12-01 12:08:20;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;12.8;78.4;42.8;99.5;2;"task_monitor_heartbeat
2025-12-01 12:08:30;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;18.7;73.2;42.9;99.5;2;"task_monitor_heartbeat
2025-12-01 12:08:40;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;17.3;83.4;42.9;99.5;2;"task_monitor_heartbeat
2025-12-01 12:08:50;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;5.3;77.7;42.9;99.5;2;"task_monitor_heartbeat
2025-12-01 12:09;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;16.2;80.5;42.9;99.5;2;"task_monitor_heartbeat
2025-12-01 12:09:10;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;9.7;83.7;42.9;99.5;2;"task_monitor_heartbeat
2025-12-01 12:09:20;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;true;14.6;82.7;42.9;99.4;4;"task_monitor_heartbeat
2025-12-01 12:09:30;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;18.8;76.0;42.9;99.4;2;"task_monitor_heartbeat
2025-12-01 12:09:40;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;true;9.1;82.9;42.9;99.4;4;"task_monitor_heartbeat
2025-12-01 12:09:50;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;15.4;72.8;42.9;99.4;2;"task_monitor_heartbeat
2025-12-01 12:10;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;13.4;74.9;42.9;99.4;2;"task_monitor_heartbeat
2025-12-01 12:10:10;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;14.9;80.5;42.9;99.4;2;"task_monitor_heartbeat
2025-12-01 12:10:20;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;7.4;83.4;42.9;99.4;2;"task_monitor_heartbeat
2025-12-01 12:10:30;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;11.6;77.2;42.9;99.4;2;"task_monitor_heartbeat
2025-12-01 12:10:40;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;5.7;77.5;42.9;99.4;2;"task_monitor_heartbeat
2025-12-01 12:10:50;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;6.3;78.9;42.9;99.4;2;"task_monitor_heartbeat
2025-12-01 12:11;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;18.5;75.2;42.9;99.3;2;"task_monitor_heartbeat
2025-12-01 12:11:10;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;14.8;72.3;42.9;99.3;2;"task_monitor_heartbeat
2025-12-01 12:11:20;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;15.9;72.4;42.9;99.3;2;"task_monitor_heartbeat
2025-12-01 12:11:30;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;15.7;71.8;42.9;99.3;2;"task_monitor_heartbeat
2025-12-01 12:11:40;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;7.9;72.8;42.9;99.3;2;"task_monitor_heartbeat
2025-12-01 12:11:50;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;10.4;83.4;42.9;99.3;2;"task_monitor_heartbeat
2025-12-01 12:12;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;8.0;70.3;42.9;99.3;2;"task_monitor_heartbeat
2025-12-01 12:12:10;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;5.6;80.3;42.9;99.3;2;"task_monitor_heartbeat
2025-12-01 12:12:20;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;true;9.5;72.3;42.9;99.3;4;"task_monitor_heartbeat
2025-12-01 12:12:30;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;15.9;72.8;43.0;99.3;2;"task_monitor_heartbeat
2025-12-01 12:12:40;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;9.8;77.1;43.0;99.2;2;"task_monitor_heartbeat
2025-12-01 12:12:50;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;10.9;73.2;43.0;99.2;2;"task_monitor_heartbeat
2025-12-01 12:13;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;9.9;70.5;43.0;99.2;2;"task_monitor_heartbeat
2025-12-01 12:13:10;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;8.2;79.6;43.0;99.2;2;"task_monitor_heartbeat
2025-12-01 12:13:20;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;17.2;81.4;43.0;99.2;2;"task_monitor_heartbeat
2025-12-01 12:13:30;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;6.1;73.6;43.0;99.2;2;"task_monitor_heartbeat
2025-12-01 12:13:40;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;15.7;79.5;43.0;99.2;2;"task_monitor_heartbeat
2025-12-01 12:13:50;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;13.8;80.9;43.0;99.2;2;"task_monitor_heartbeat
2025-12-01 12:14;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;true;18.6;70.2;43.0;99.2;4;"task_monitor_heartbeat
2025-12-01 12:14:10;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;6.4;74.0;43.0;99.2;2;"task_monitor_heartbeat
2025-12-01 12:14:20;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;15.4;83.7;43.0;99.1;2;"task_monitor_heartbeat
2025-12-01 12:14:30;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;8.1;78.5;43.0;99.1;2;"task_monitor_heartbeat
2025-12-01 12:14:40;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;16.4;79.4;43.0;99.1;2;"task_monitor_heartbeat
2025-12-01 12:14:50;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;6.1;77.0;43.0;99.1;2;"task_monitor_heartbeat
2025-12-01 12:15;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;8.2;76.0;43.0;99.1;2;"task_monitor_heartbeat
2025-12-01 12:15:10;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;10.6;82.5;43.0;99.1;2;"task_monitor_heartbeat
2025-12-01 12:15:20;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;13.0;76.8;43.0;99.1;2;"task_monitor_heartbeat
2025-12-01 12:15:30;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;17.2;74.2;43.0;99.1;2;"task_monitor_heartbeat
2025-12-01 12:15:40;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;5.2;77.2;43.0;99.1;2;"task_monitor_heartbeat
2025-12-01 12:15:50;5a83fe84-3d16-44ed-9dd0-9c21b35a2271;false;17.3;71.6;43.0;99.1;2;"task_monitor_heartbeat
